seed,arm,split,k,hit_k
85000,random,withheld,1,0.007
85000,random,withheld,2,0.011
85000,random,withheld,3,0.02
85000,random,withheld,4,0.028
85000,random,withheld,5,0.032
85000,random,withheld,6,0.041
85000,random,withheld,7,0.054
85000,random,withheld,8,0.061
85000,random,withheld,9,0.077
85000,random,withheld,10,0.092
85000,random,withheld,11,0.1
85000,random,withheld,12,0.111
85000,random,withheld,13,0.122
85000,random,withheld,14,0.135
85000,random,withheld,15,0.15
85000,random,withheld,16,0.165
85000,random,withheld,17,0.182
85000,random,withheld,18,0.204
85000,random,withheld,19,0.219
85000,random,withheld,20,0.232
85000,random,withheld,21,0.244
85000,random,withheld,22,0.258
85000,random,withheld,23,0.274
85000,random,withheld,24,0.293
85000,random,withheld,25,0.311
85000,random,withheld,26,0.32
85000,random,withheld,27,0.328
85000,random,withheld,28,0.345
85000,random,withheld,29,0.357
85000,random,withheld,30,0.371
85000,random,withheld,31,0.385
85000,random,withheld,32,0.395
85000,random,withheld,33,0.412
85000,random,withheld,34,0.423
85000,random,withheld,35,0.435
85000,random,withheld,36,0.45
85000,random,withheld,37,0.466
85000,random,withheld,38,0.484
85000,random,withheld,39,0.499
85000,random,withheld,40,0.51
85000,random,withheld,41,0.525
85000,random,withheld,42,0.542
85000,random,withheld,43,0.553
85000,random,withheld,44,0.569
85000,random,withheld,45,0.591
85000,random,withheld,46,0.605
85000,random,withheld,47,0.624
85000,random,withheld,48,0.635
85000,random,withheld,49,0.648
85000,random,withheld,50,0.661
85000,random,withheld,51,0.675
85000,random,withheld,52,0.686
85000,random,withheld,53,0.704
85000,random,withheld,54,0.71
85000,random,withheld,55,0.72
85000,random,withheld,56,0.733
85000,random,withheld,57,0.75
85000,random,withheld,58,0.759
85000,random,withheld,59,0.771
85000,random,withheld,60,0.782
85000,random,withheld,61,0.791
85000,random,withheld,62,0.8
85000,random,withheld,63,0.809
85000,random,withheld,64,0.818
85000,random,withheld,65,0.831
85000,random,withheld,66,0.842
85000,random,withheld,67,0.852
85000,random,withheld,68,0.864
85000,random,withheld,69,0.868
85000,random,withheld,70,0.876
85000,random,withheld,71,0.882
85000,random,withheld,72,0.889
85000,random,withheld,73,0.898
85000,random,withheld,74,0.909
85000,random,withheld,75,0.915
85000,random,withheld,76,0.924
85000,random,withheld,77,0.927
85000,random,withheld,78,0.93
85000,random,withheld,79,0.935
85000,random,withheld,80,0.94
85000,random,withheld,81,0.944
85000,random,withheld,82,0.946
85000,random,withheld,83,0.951
85000,random,withheld,84,0.956
85000,random,withheld,85,0.961
85000,random,withheld,86,0.965
85000,random,withheld,87,0.966
85000,random,withheld,88,0.969
85000,random,withheld,89,0.97
85000,random,withheld,90,0.973
85000,random,withheld,91,0.978
85000,random,withheld,92,0.979
85000,random,withheld,93,0.982
85000,random,withheld,94,0.984
85000,random,withheld,95,0.984
85000,random,withheld,96,0.986
85000,random,withheld,97,0.987
85000,random,withheld,98,0.987
85000,random,withheld,99,0.988
85000,random,withheld,100,0.989
85000,random,withheld,101,0.989
85000,random,withheld,102,0.991
85000,random,withheld,103,0.995
85000,random,withheld,104,0.996
85000,random,withheld,105,0.997
85000,random,withheld,106,0.998
85000,random,withheld,107,0.998
85000,random,withheld,108,0.999
85000,random,withheld,109,0.999
85000,random,withheld,110,0.999
85000,random,withheld,111,0.999
85000,random,withheld,112,1.0
85000,random,withheld,113,1.0
85000,random,withheld,114,1.0
85000,random,withheld,115,1.0
85000,random,withheld,116,1.0
85000,random,withheld,117,1.0
85000,random,withheld,118,1.0
85000,random,withheld,119,1.0
85000,random,withheld,120,1.0
85000,random,withheld,121,1.0
85000,random,withheld,122,1.0
85000,random,withheld,123,1.0
85000,random,withheld,124,1.0
85000,random,withheld,125,1.0
85000,random,control,1,0.15
85000,random,control,2,0.241
85000,random,control,3,0.283
85000,random,control,4,0.311
85000,random,control,5,0.337
85000,random,control,6,0.361
85000,random,control,7,0.384
85000,random,control,8,0.4
85000,random,control,9,0.419
85000,random,control,10,0.432
85000,random,control,11,0.455
85000,random,control,12,0.472
85000,random,control,13,0.492
85000,random,control,14,0.505
85000,random,control,15,0.528
85000,random,control,16,0.542
85000,random,control,17,0.556
85000,random,control,18,0.574
85000,random,control,19,0.586
85000,random,control,20,0.598
85000,random,control,21,0.616
85000,random,control,22,0.623
85000,random,control,23,0.632
85000,random,control,24,0.641
85000,random,control,25,0.649
85000,random,control,26,0.653
85000,random,control,27,0.662
85000,random,control,28,0.671
85000,random,control,29,0.673
85000,random,control,30,0.68
85000,random,control,31,0.687
85000,random,control,32,0.695
85000,random,control,33,0.704
85000,random,control,34,0.71
85000,random,control,35,0.716
85000,random,control,36,0.721
85000,random,control,37,0.731
85000,random,control,38,0.742
85000,random,control,39,0.75
85000,random,control,40,0.755
85000,random,control,41,0.763
85000,random,control,42,0.77
85000,random,control,43,0.777
85000,random,control,44,0.779
85000,random,control,45,0.784
85000,random,control,46,0.788
85000,random,control,47,0.792
85000,random,control,48,0.801
85000,random,control,49,0.804
85000,random,control,50,0.813
85000,random,control,51,0.822
85000,random,control,52,0.827
85000,random,control,53,0.834
85000,random,control,54,0.84
85000,random,control,55,0.844
85000,random,control,56,0.851
85000,random,control,57,0.855
85000,random,control,58,0.858
85000,random,control,59,0.862
85000,random,control,60,0.866
85000,random,control,61,0.871
85000,random,control,62,0.878
85000,random,control,63,0.884
85000,random,control,64,0.889
85000,random,control,65,0.892
85000,random,control,66,0.896
85000,random,control,67,0.899
85000,random,control,68,0.901
85000,random,control,69,0.901
85000,random,control,70,0.908
85000,random,control,71,0.915
85000,random,control,72,0.919
85000,random,control,73,0.921
85000,random,control,74,0.923
85000,random,control,75,0.924
85000,random,control,76,0.926
85000,random,control,77,0.93
85000,random,control,78,0.933
85000,random,control,79,0.937
85000,random,control,80,0.938
85000,random,control,81,0.943
85000,random,control,82,0.945
85000,random,control,83,0.946
85000,random,control,84,0.947
85000,random,control,85,0.949
85000,random,control,86,0.952
85000,random,control,87,0.955
85000,random,control,88,0.957
85000,random,control,89,0.959
85000,random,control,90,0.96
85000,random,control,91,0.961
85000,random,control,92,0.962
85000,random,control,93,0.962
85000,random,control,94,0.965
85000,random,control,95,0.966
85000,random,control,96,0.967
85000,random,control,97,0.968
85000,random,control,98,0.969
85000,random,control,99,0.971
85000,random,control,100,0.972
85000,random,control,101,0.974
85000,random,control,102,0.974
85000,random,control,103,0.975
85000,random,control,104,0.977
85000,random,control,105,0.978
85000,random,control,106,0.982
85000,random,control,107,0.984
85000,random,control,108,0.986
85000,random,control,109,0.986
85000,random,control,110,0.986
85000,random,control,111,0.99
85000,random,control,112,0.991
85000,random,control,113,0.993
85000,random,control,114,0.995
85000,random,control,115,0.997
85000,random,control,116,0.998
85000,random,control,117,0.998
85000,random,control,118,0.998
85000,random,control,119,0.998
85000,random,control,120,0.998
85000,random,control,121,1.0
85000,random,control,122,1.0
85000,random,control,123,1.0
85000,random,control,124,1.0
85000,random,control,125,1.0
85000,withheld,withheld,1,0.001
85000,withheld,withheld,2,0.004
85000,withheld,withheld,3,0.008
85000,withheld,withheld,4,0.011
85000,withheld,withheld,5,0.018
85000,withheld,withheld,6,0.023
85000,withheld,withheld,7,0.026
85000,withheld,withheld,8,0.035
85000,withheld,withheld,9,0.04
85000,withheld,withheld,10,0.044
85000,withheld,withheld,11,0.054
85000,withheld,withheld,12,0.069
85000,withheld,withheld,13,0.077
85000,withheld,withheld,14,0.09
85000,withheld,withheld,15,0.102
85000,withheld,withheld,16,0.115
85000,withheld,withheld,17,0.126
85000,withheld,withheld,18,0.139
85000,withheld,withheld,19,0.147
85000,withheld,withheld,20,0.152
85000,withheld,withheld,21,0.163
85000,withheld,withheld,22,0.173
85000,withheld,withheld,23,0.188
85000,withheld,withheld,24,0.201
85000,withheld,withheld,25,0.214
85000,withheld,withheld,26,0.23
85000,withheld,withheld,27,0.242
85000,withheld,withheld,28,0.255
85000,withheld,withheld,29,0.267
85000,withheld,withheld,30,0.277
85000,withheld,withheld,31,0.288
85000,withheld,withheld,32,0.299
85000,withheld,withheld,33,0.308
85000,withheld,withheld,34,0.32
85000,withheld,withheld,35,0.331
85000,withheld,withheld,36,0.344
85000,withheld,withheld,37,0.35
85000,withheld,withheld,38,0.366
85000,withheld,withheld,39,0.372
85000,withheld,withheld,40,0.382
85000,withheld,withheld,41,0.395
85000,withheld,withheld,42,0.405
85000,withheld,withheld,43,0.413
85000,withheld,withheld,44,0.416
85000,withheld,withheld,45,0.428
85000,withheld,withheld,46,0.435
85000,withheld,withheld,47,0.449
85000,withheld,withheld,48,0.462
85000,withheld,withheld,49,0.474
85000,withheld,withheld,50,0.486
85000,withheld,withheld,51,0.497
85000,withheld,withheld,52,0.51
85000,withheld,withheld,53,0.515
85000,withheld,withheld,54,0.528
85000,withheld,withheld,55,0.541
85000,withheld,withheld,56,0.553
85000,withheld,withheld,57,0.563
85000,withheld,withheld,58,0.571
85000,withheld,withheld,59,0.584
85000,withheld,withheld,60,0.6
85000,withheld,withheld,61,0.618
85000,withheld,withheld,62,0.631
85000,withheld,withheld,63,0.644
85000,withheld,withheld,64,0.656
85000,withheld,withheld,65,0.672
85000,withheld,withheld,66,0.68
85000,withheld,withheld,67,0.691
85000,withheld,withheld,68,0.697
85000,withheld,withheld,69,0.708
85000,withheld,withheld,70,0.725
85000,withheld,withheld,71,0.734
85000,withheld,withheld,72,0.74
85000,withheld,withheld,73,0.751
85000,withheld,withheld,74,0.767
85000,withheld,withheld,75,0.78
85000,withheld,withheld,76,0.79
85000,withheld,withheld,77,0.803
85000,withheld,withheld,78,0.812
85000,withheld,withheld,79,0.824
85000,withheld,withheld,80,0.83
85000,withheld,withheld,81,0.835
85000,withheld,withheld,82,0.836
85000,withheld,withheld,83,0.84
85000,withheld,withheld,84,0.848
85000,withheld,withheld,85,0.858
85000,withheld,withheld,86,0.869
85000,withheld,withheld,87,0.874
85000,withheld,withheld,88,0.88
85000,withheld,withheld,89,0.888
85000,withheld,withheld,90,0.901
85000,withheld,withheld,91,0.908
85000,withheld,withheld,92,0.926
85000,withheld,withheld,93,0.933
85000,withheld,withheld,94,0.941
85000,withheld,withheld,95,0.951
85000,withheld,withheld,96,0.958
85000,withheld,withheld,97,0.961
85000,withheld,withheld,98,0.966
85000,withheld,withheld,99,0.972
85000,withheld,withheld,100,0.976
85000,withheld,withheld,101,0.977
85000,withheld,withheld,102,0.98
85000,withheld,withheld,103,0.982
85000,withheld,withheld,104,0.983
85000,withheld,withheld,105,0.983
85000,withheld,withheld,106,0.986
85000,withheld,withheld,107,0.991
85000,withheld,withheld,108,0.991
85000,withheld,withheld,109,0.992
85000,withheld,withheld,110,0.995
85000,withheld,withheld,111,0.997
85000,withheld,withheld,112,0.998
85000,withheld,withheld,113,0.998
85000,withheld,withheld,114,0.999
85000,withheld,withheld,115,0.999
85000,withheld,withheld,116,0.999
85000,withheld,withheld,117,0.999
85000,withheld,withheld,118,1.0
85000,withheld,withheld,119,1.0
85000,withheld,withheld,120,1.0
85000,withheld,withheld,121,1.0
85000,withheld,withheld,122,1.0
85000,withheld,withheld,123,1.0
85000,withheld,withheld,124,1.0
85000,withheld,withheld,125,1.0
85000,withheld,control,1,0.16
85000,withheld,control,2,0.262
85000,withheld,control,3,0.299
85000,withheld,control,4,0.333
85000,withheld,control,5,0.35
85000,withheld,control,6,0.365
85000,withheld,control,7,0.382
85000,withheld,control,8,0.399
85000,withheld,control,9,0.415
85000,withheld,control,10,0.436
85000,withheld,control,11,0.449
85000,withheld,control,12,0.46
85000,withheld,control,13,0.477
85000,withheld,control,14,0.493
85000,withheld,control,15,0.516
85000,withheld,control,16,0.531
85000,withheld,control,17,0.547
85000,withheld,control,18,0.553
85000,withheld,control,19,0.567
85000,withheld,control,20,0.583
85000,withheld,control,21,0.592
85000,withheld,control,22,0.608
85000,withheld,control,23,0.624
85000,withheld,control,24,0.644
85000,withheld,control,25,0.658
85000,withheld,control,26,0.669
85000,withheld,control,27,0.675
85000,withheld,control,28,0.686
85000,withheld,control,29,0.696
85000,withheld,control,30,0.704
85000,withheld,control,31,0.715
85000,withheld,control,32,0.722
85000,withheld,control,33,0.727
85000,withheld,control,34,0.734
85000,withheld,control,35,0.743
85000,withheld,control,36,0.752
85000,withheld,control,37,0.76
85000,withheld,control,38,0.769
85000,withheld,control,39,0.777
85000,withheld,control,40,0.789
85000,withheld,control,41,0.796
85000,withheld,control,42,0.802
85000,withheld,control,43,0.807
85000,withheld,control,44,0.815
85000,withheld,control,45,0.817
85000,withheld,control,46,0.825
85000,withheld,control,47,0.831
85000,withheld,control,48,0.837
85000,withheld,control,49,0.84
85000,withheld,control,50,0.848
85000,withheld,control,51,0.849
85000,withheld,control,52,0.857
85000,withheld,control,53,0.862
85000,withheld,control,54,0.868
85000,withheld,control,55,0.88
85000,withheld,control,56,0.886
85000,withheld,control,57,0.888
85000,withheld,control,58,0.892
85000,withheld,control,59,0.899
85000,withheld,control,60,0.902
85000,withheld,control,61,0.907
85000,withheld,control,62,0.91
85000,withheld,control,63,0.915
85000,withheld,control,64,0.916
85000,withheld,control,65,0.921
85000,withheld,control,66,0.922
85000,withheld,control,67,0.925
85000,withheld,control,68,0.929
85000,withheld,control,69,0.933
85000,withheld,control,70,0.934
85000,withheld,control,71,0.938
85000,withheld,control,72,0.942
85000,withheld,control,73,0.945
85000,withheld,control,74,0.945
85000,withheld,control,75,0.947
85000,withheld,control,76,0.951
85000,withheld,control,77,0.956
85000,withheld,control,78,0.959
85000,withheld,control,79,0.963
85000,withheld,control,80,0.964
85000,withheld,control,81,0.965
85000,withheld,control,82,0.966
85000,withheld,control,83,0.968
85000,withheld,control,84,0.969
85000,withheld,control,85,0.971
85000,withheld,control,86,0.971
85000,withheld,control,87,0.972
85000,withheld,control,88,0.973
85000,withheld,control,89,0.975
85000,withheld,control,90,0.977
85000,withheld,control,91,0.977
85000,withheld,control,92,0.98
85000,withheld,control,93,0.984
85000,withheld,control,94,0.986
85000,withheld,control,95,0.986
85000,withheld,control,96,0.986
85000,withheld,control,97,0.987
85000,withheld,control,98,0.988
85000,withheld,control,99,0.99
85000,withheld,control,100,0.991
85000,withheld,control,101,0.991
85000,withheld,control,102,0.994
85000,withheld,control,103,0.994
85000,withheld,control,104,0.995
85000,withheld,control,105,0.996
85000,withheld,control,106,0.996
85000,withheld,control,107,0.996
85000,withheld,control,108,0.996
85000,withheld,control,109,0.996
85000,withheld,control,110,0.996
85000,withheld,control,111,0.996
85000,withheld,control,112,0.997
85000,withheld,control,113,0.997
85000,withheld,control,114,0.998
85000,withheld,control,115,0.999
85000,withheld,control,116,0.999
85000,withheld,control,117,1.0
85000,withheld,control,118,1.0
85000,withheld,control,119,1.0
85000,withheld,control,120,1.0
85000,withheld,control,121,1.0
85000,withheld,control,122,1.0
85000,withheld,control,123,1.0
85000,withheld,control,124,1.0
85000,withheld,control,125,1.0
85001,random,withheld,1,0.013
85001,random,withheld,2,0.027
85001,random,withheld,3,0.042
85001,random,withheld,4,0.051
85001,random,withheld,5,0.063
85001,random,withheld,6,0.077
85001,random,withheld,7,0.096
85001,random,withheld,8,0.108
85001,random,withheld,9,0.12
85001,random,withheld,10,0.136
85001,random,withheld,11,0.151
85001,random,withheld,12,0.163
85001,random,withheld,13,0.18
85001,random,withheld,14,0.201
85001,random,withheld,15,0.22
85001,random,withheld,16,0.236
85001,random,withheld,17,0.255
85001,random,withheld,18,0.268
85001,random,withheld,19,0.279
85001,random,withheld,20,0.292
85001,random,withheld,21,0.305
85001,random,withheld,22,0.314
85001,random,withheld,23,0.331
85001,random,withheld,24,0.348
85001,random,withheld,25,0.363
85001,random,withheld,26,0.378
85001,random,withheld,27,0.396
85001,random,withheld,28,0.404
85001,random,withheld,29,0.416
85001,random,withheld,30,0.427
85001,random,withheld,31,0.434
85001,random,withheld,32,0.442
85001,random,withheld,33,0.451
85001,random,withheld,34,0.464
85001,random,withheld,35,0.477
85001,random,withheld,36,0.492
85001,random,withheld,37,0.506
85001,random,withheld,38,0.513
85001,random,withheld,39,0.522
85001,random,withheld,40,0.533
85001,random,withheld,41,0.544
85001,random,withheld,42,0.563
85001,random,withheld,43,0.572
85001,random,withheld,44,0.585
85001,random,withheld,45,0.594
85001,random,withheld,46,0.605
85001,random,withheld,47,0.618
85001,random,withheld,48,0.628
85001,random,withheld,49,0.642
85001,random,withheld,50,0.658
85001,random,withheld,51,0.662
85001,random,withheld,52,0.669
85001,random,withheld,53,0.686
85001,random,withheld,54,0.701
85001,random,withheld,55,0.715
85001,random,withheld,56,0.725
85001,random,withheld,57,0.741
